label,sample
artist_name,CompressionHead
artist_name,Pneumatic Head Compressor
artist_name,Compressorhead
song_name,Loose Screw
song_name,7 How The Famous Johnny Burned In The Fall Of Y 2 K
song_name,breakforce5
song_name,9 Saint Shark Victim Of Himself
song_name,8 Brave new law
song_name,These Bots Are Made for Rocking
song_name,Half Life
song_name,Speed Walking Lady
song_name,Hidden passages in plain site
song_name,5 The Robot Of Gleam
song_name,Zombies vs. Robots
song_name,w6ji
song_name,Would have had to have had
song_name,10 Se Pa Ra Tion
song_name,2 Los Paisiblos
song_name,My Girlfriend's a Robot
song_name,4 Brave New World
song_name,Let There Be Light
song_name,We existed I thought
song_name,2 Ultra zero
song_name,3 Positive Reflexions
song_name,Gen Generic
song_name,6 Alone
song_name,5 Electric Beatification
song_name,Sadist faction
song_name,1 Just Another
song_name,Made To Be
song_name,3 Down
song_name,7 Killer kapitalism klub
song_name,J.Chambers
song_name,1 Welcome Aboard
song_name,4 Dorian Gray Stock
song_name,1 Intro
song_name,burning bridges
song_name,7 Quiet Rational Choice
song_name,4 Bitch
song_name,The Place I'm At
song_name,9 Lost in the S.hell
song_name,3 Black Gold / White Goal
song_name,6 Feel Fine
song_name,I Am What I Am
song_name,The Contender
song_name,6 Arty shock heart
song_name,These People Like to Dance
song_name,caffeine rush and cheese dust fingers
song_name,8 Plot
song_name,Fleisch
song_name,2 The Second Inner Demon
song_name,giants of science
song_name,collapse before triumph
song_name,3 D.A.D.
song_name,2 Golden Age Of Darkness
song_name,4 Big trouble in disco island
song_name,Compressorhead
song_name,Risky reword
song_name,ammonia
song_name,running off the 6502 rails
song_name,Cavern Lights
song_name,1 Fear manifesto
song_name,5 Swallow dive
song_name,5 Seasons
song_name,Party Machine
album_name,the Police State
album_name,From Freddy To Lemmy
album_name,Hyperfidy / Superversion
album_name,Los Paisiblos
album_name,party machine
album_name,8 Bit A Bomb
album_name,The Perfect Human Conflict
music_streaming_provider,band camp
music_streaming_provider,Bandcamp
music_genre,rock
music_genre,pop
music_genre,metal
music_genre,jazz
music_genre,indie